,id,typeid,kategoriid,statusid,titel,titelkort,offentlighedskode,nummer,nummerprefix,nummernumerisk,nummerpostfix,resume,afstemningskonklusion,periodeid,afgørelsesresultatkode,baggrundsmateriale,opdateringsdato,statsbudgetsag,begrundelse,paragrafnummer,paragraf,afgørelsesdato,afgørelse,rådsmødedato,lovnummer,lovnummerdato,retsinformationsurl,fremsatundersagid,deltundersagid
14,15,10,11.0,20,"Hvad er ministerens holdning til, at straffelovens spionageparagraffer ikke i tilstrækkeligt omfang yder danske borgere og virksomheder beskyttelse mod overvågning fra fremmede magter, sådan som den afgående chef for Politiets Efterretningstjeneste (PET) gav udtryk for i Politiken søndag den 29. december 2013, og vil ministeren på den baggrund tage initiativ til en ændring af straffeloven?",Om straffelovens spionageparagraffer. ,O,S 732,S,732,,,,32,,,2017-12-05T19:44:14.743,False,Der henvises til Politiken søndag den 29. december 2013.,,,,,,,,,,
15,16,10,11.0,20,"Vil ministeren følge forslaget fra MF Trine Bramsen (S) fremsat i et  
debatindlæg den 2. januar 2014 i Fyens Stiftstidende og tage initiativ til at sænke broafgiften på Storebæltsbroen?",Om at nedsætte broafgiften på Storebæltsbroen.,O,S 733,S,733,,,,32,,,2017-12-05T19:44:14.893,False,Ingen.,,,,,,,,,,
16,17,10,11.0,20,"Vil ministeren tage initiativ til, at man ser på fællestræk af de hændelser, der har været, og til at der kommer ledelsesmæssig ansvar, så man kan rette op det og undgår lignende sager i fremtiden?",Der henvises til TV2's artiklel »Patient døde: lægebil skulle takkes« af 3. januar 2014.,O,S 734,S,734,,,,32,,,2017-12-05T19:44:15.05,False,Der henvises til TV2's artikel »Patient døde: lægebil skulle takkes« af 3. januar 2014.,,,,,,,,,,
17,18,10,11.0,20,"Er ministeren enig med MF Trine Bramsen (S), når hun i et debatindlæg den 2. januar 2014 i Fyens Stiftstidende skriver, at broafgiften på Storebæltsbroen bør nedsættes og fjernes?",Om broafgiften på Storebæltsbroen.,O,S 735,S,735,,,,32,,,2017-12-05T19:44:15.263,False,Ingen.,,,,,,,,,,
18,19,10,11.0,20,"Hvad er ministerens holdning til, at ghettobebyggelsen på Motalavej i Korsør i realiteten er et lovløst område, hvor hverken politi eller brandvæsenet kommer for at opretholde lov og orden eller for at slukke containerbrande, det er overladt til beboerne selv at ordne, og hvad vil ministeren foretage sig for at genskabe lov og orden og almindelig tryghed for beboerne?",Om ghettobebyggelsen på Motalavej i Korsør.,O,S 736,S,736,,,,32,,,2017-12-05T19:44:15.423,False,"Der henvises til artiklen: »Den Korte Avis' reporter måtte flygte fra unge voldsmænd«, Den Korte Avis den 2. januar 2014.",,,,,,,,,,
19,20,10,11.0,4,"Hvad er ministerens holdning til, at Politiets Efterretningstjeneste (PET) stadig nægter forskere fuld adgang til arkivoplysninger om Danmark under Den Kolde Krig, og – i det omfang forskerne får adgang – i mange tilfælde nægter at give forskerne tilladelse til at publicere den fremkomne viden, og mener ministeren ikke, at man i 2014 – 25 året for Murens fald, bør give forskerne tilladelser til fuld og uhindret adgang, medmindre ministeren i helt særlige og konkrete tilfælde nægter adgang, hvis hensynet til Danmarks sikkerhed fortsat betinger dette?","Om forskere, der nægtes adgang til arkivoplysninger om Den Kolde Krig.",O,S 737,S,737,,,,32,,,2017-12-05T19:44:15.593,False,Der henvises til artiklen »Kold krig – stadig varm« i BT den 30. december 2013.,,,,,,,,,,
20,21,7,,54,"Forslag til Europa-Parlamentets og Rådets direktiv om kloning af kvæg, svin, får, geder og dyr af hestefamilien, der holdes og reproduceres til landbrugsformål {SWD(2013) 519-20 final} ",Forslag til direktiv om kloning af dyr,O,KOM (2013) 0892,KOM,892,,"<div>


<p>
<strong>Forslaget er modtaget</strong> af Folketinget i dansk sprogudgave 
 den&nbsp;23. december&nbsp;2013, jf. <a href=""http://www.euo.dk/upload/application/pdf/d83cf832/Protokol2_naerhed.pdf"">Lissabontraktatens 
 protokol nr. 2</a> om kontrol med nærhedsprincippet. <strong>Fristen 
</strong>på  8 uger for fremsendelse af Folketingets begrundede udtalelse  
<strong>udløb&nbsp;ifølge IPEX&nbsp;17. februar&nbsp;2014.</strong>&nbsp; 
</p>


<div>


<div>


<p>
<a href=""/164653.docid"">Læs</a> 
Kommissionens fremsendelsesbrev   
</p>

</div>

</div>

</div>",,14,,,2025-03-07T14:26:15.85,False,,,,,,,,,,,
21,22,7,,54,Forslag til Rådets direktiv om markedsføring af fødevarer fra dyrekloner {SWD(2013) 519-20 final},Forslag til direktiv om markedsføring af fødevarer fra dyrekloner,O,KOM (2013) 0893,KOM,893,,"<div>


<p>
<strong>Forslaget er modtaget</strong> af Folketinget i dansk sprogudgave 
 den&nbsp;23. december&nbsp;2013, jf. <a href=""http://www.euo.dk/upload/application/pdf/d83cf832/Protokol2_naerhed.pdf"">Lissabontraktatens 
 protokol nr. 2</a> om kontrol med nærhedsprincippet. <strong>Fristen 
</strong>på  8 uger for fremsendelse af Folketingets begrundede udtalelse  
<strong>udløb&nbsp;ifølge IPEX&nbsp;17. februar&nbsp;2014.</strong>&nbsp; 
</p>


<div>


<div>


<p>
<a href=""/164655.docid"">Læs</a> 
Kommissionens fremsendelsesbrev   
</p>

</div>

</div>

</div>",,14,,,2025-03-07T14:27:39.673,False,,,,,,,,,,,
22,23,10,11.0,20,"Vil ministeren oplyse, om ministeren agter at tage kontakt til DBU med henblik på en præcisering af reglerne for »spillerfiskeri« af unge fodboldspillere, og i givet fald efterfølgende orientere idrætsordførerne for Folketingets partier om, hvad drøftelserne med DBU munder ud i?",Om reglerne for »spillerfiskeri« af unge fodboldspillere.,O,S 738,S,738,,,,32,,,2017-12-05T19:44:15.73,False,Spørgsmålet stilles på baggrund af Politikens artikelserie om emnet bragt løbende i den seneste uge.,,,,,,,,,,
23,24,10,11.0,20,"Hvad vil ministeren gøre for at stoppe den negative udvikling i antallet af nyetablerede virksomheder, der jf. artiklen »Nystartede virksomheder rammer ti års bund« i Børsen den 6. januar 2014 satte bundrekord i 2013?",Om den negative udvikling i antallet af nyetablerede virksomheder.,O,S 739,S,739,,,,32,,,2017-12-05T19:44:15.857,False,Ingen.,,,,,,,,,,
24,25,8,,21,Aktstykke om støtte til den 13. genopfyldning af Den afrikanske Udviklingsfond,Aktstykke om støtte til den 13. genopfyldning af Den afrikanske Udviklingsfond,O,Aktstk. 57,Aktstk.,57,,,,32,TU,,2021-06-03T13:19:16.78,False,,6.0,Udenrigsministeriet,2014-02-20T00:00:00,"Tiltrådt af Finansudvalget den 20-02-2014
Dansk folkepartis medlemmer af udvalget støtter aktstykke 57, men DF ønsker, at Danmark indstiller ulandshjælp til Uganda efter vedtagelse af homolov. Dansk Folkeparti støtter netop op om demokratiskabende tiltag, men i dette tilfælde er der tale om alvorlige angreb mod frihedsrettighederne. DF opfordrer endvidere til, at regeringen følger op på vigtigheden af en redelig regeringsførelse i forhold til de lande, som er en del af den afrikanske udviklingsfond. Enhedslisten støtter regeringens arbejde for at øge inddragelsen af civilsamfundet og opfordrer regeringen til at betone nødvendigheden af øget civilsamfundsinddragelse i AfDBs programmer.",,,,,,
25,26,7,,54,Forslag til Rådets henstilling om en kvalitetsramme for praktikophold,Forslag til Rådets henstilling om en kvalitetsramme for praktikophold,O,KOM (2013) 0857,KOM,857,,,,14,,,2016-08-30T13:01:02.407,False,,,,,,,,,,,
26,27,7,,54,Forslag til Europa-Parlamentets og Rådets forordning om nye fødevarer,Forslag til Europa-Parlamentets og Rådets forordning om nye fødevarer,O,KOM (2013) 0894,KOM,894,,"<div>


<p>
<strong>Forslaget er modtaget</strong> af Folketinget i dansk sprogudgave 
den&nbsp;23. december&nbsp;2013, jf. <a href=""http://www.euo.dk/upload/application/pdf/d83cf832/Protokol2_naerhed.pdf"">Lissabontraktatens 
protokol nr. 2</a> om kontrol med nærhedsprincippet. <strong>Fristen </strong>på 
8 uger for fremsendelse af Folketingets begrundede udtalelse 
<strong>udløb&nbsp;ifølge IPEX&nbsp;17. februar&nbsp;2014.</strong>&nbsp; 
</p>


<div>


<div>


<p>
<a href=""/164656.docid"">Læs</a> 
Kommissionens fremsendelsesbrev  
</p>

</div>

</div>

</div>",,14,,,2016-08-30T13:01:02.547,False,,,,,,,,,,,
27,28,8,,21,Aktstykke om forhøjet tilskud til retshjælpsinstitutioner og Dansk Flygtningehjælp,Aktstykke om forhøjet tilskud til retshjælpsinstitutioner og Dansk Flygtningehjælp,O,Aktstk. 58,Aktstk.,58,,,,32,TU,,2021-06-03T13:19:18.47,False,,11.0,Justitsministeriet,2014-01-16T00:00:00,Tiltrådt af Finansudvalget den 16-01-2014 ,,,,,,
28,29,8,,21,"Aktstykke om forhøjelse af nettodriftsbevillingen med 0,8 mio. kr. til Kofoeds Skole","Aktstykke om forhøjelse af nettodriftsbevillingen med 0,8 mio. kr. til Kofoeds Skole",O,Aktstk. 59,Aktstk.,59,,,,32,TU,,2021-06-03T13:19:17.877,False,,15.0,Social- og Indenrigsministeriet,2014-01-16T00:00:00,Tiltrådt af Finansudvalget den 16-01-2014 ,,,,,,
29,30,8,,21,Aktstykke om forhøjelse af nettodriftsbevilling på 1 mio. kr. vedr. Rådet for Socialt Udsatte,Aktstykke om forhøjelse af nettodriftsbevilling på 1 mio. kr. vedr. Rådet for Socialt Udsatte,O,Aktstk. 60,Aktstk.,60,,,,32,TU,,2021-06-03T13:19:19.537,False,,15.0,Social- og Indenrigsministeriet,2014-01-16T00:00:00,Tiltrådt af Finansudvalget den 16-01-2014 ,,,,,,
30,31,7,,54,Forslag til Europa-Parlamentets og Rådets direktiv om begrænsning af visse luftforurenende emissioner fra mellemstore fyringsanlæg,Forslag til Europa-Parlamentets og Rådets direktiv om begrænsning af visse luftforurenende emissioner fra mellemstore fyringsanlæg,O,KOM (2013) 0919,KOM,919,,"<div>


<p>
<strong>Forslaget er modtaget</strong> af Folketinget i dansk sprogudgave 
den&nbsp;23. december&nbsp;2013, jf. <a href=""http://www.euo.dk/upload/application/pdf/d83cf832/Protokol2_naerhed.pdf"">Lissabontraktatens 
protokol nr. 2</a> om kontrol med nærhedsprincippet. <strong>Fristen </strong>på 
8 uger for fremsendelse af Folketingets begrundede udtalelse 
<strong>udløb&nbsp;ifølge IPEX&nbsp;17. februar&nbsp;2014.</strong>&nbsp; 
</p>


<div>


<div>


<p>
<a href=""/164657.docid"">Læs</a> 
Kommissionens fremsendelsesbrev  
</p>

</div>

</div>

</div>",,14,,,2016-08-30T13:01:02.72,False,,,,,,,,,,,
31,32,10,11.0,20,"Mener ministeren, at en station i Holeby vil skabe bedre vilkår for den enkelte borger og erhvervslivet på Sydlolland, når Femern Bælt-forbindelsen er etableret?",Om etablering af en station i Holeby.,O,S 740,S,740,,,,32,,,2017-12-05T19:44:16.623,False,Ingen.,,,,,,,,,,
32,33,7,,54,"Forslag til Europa-Parlamentets og Rådets direktiv om nedbringelse af nationale emissioner af visse luftforurenende stoffer og om ændring af direktiv 2003/35/EF (EØS-relevant tekst)
{SWD(2013) 531 final}
{SWD(2013) 532 final}
{SWD(2013) 537 final}",Forslag til direktiv om nedbringelse af nationale emissioner af luftforurenende stoffer NEC-direktivet),O,KOM (2013) 0920,KOM,920,,"<div>


<p>
<strong>Forslaget er modtaget</strong> af Folketinget i dansk sprogudgave 
 den&nbsp;23. december&nbsp;2013, jf. <a href=""http://www.euo.dk/upload/application/pdf/d83cf832/Protokol2_naerhed.pdf"">Lissabontraktatens 
 protokol nr. 2</a> om kontrol med nærhedsprincippet. <strong>Fristen 
</strong>på  8 uger for fremsendelse af Folketingets begrundede udtalelse  
<strong>udløb&nbsp;ifølge IPEX&nbsp;17. februar&nbsp;2014.</strong>&nbsp; 
</p>


<div>


<div>


<p>
<a href=""/164658.docid"">Læs</a> 
Kommissionens fremsendelsesbrev   
</p>

</div>

</div>

</div>",,14,,,2019-05-22T13:03:46.827,False,,,,,,,,,,,
33,34,10,11.0,20,"Vil ministeren jf. svar på spørgsmålene S 592 og S 594 forholde sig til de bekymringer, som over 170 civilsamfundsorganisationer har givet udtryk for netop omkring ISDS-ordningen, og vil ministeren i det lys fortsat holde fast i, at ordningen ikke vil få negative politiske eller økonomiske konsekvenser og i så fald på hvilken baggrund?",Om ISDS-ordningen.,O,S 741,S,741,,,,32,,,2017-12-05T19:44:16.76,False,Der henvises til oplysningen i artiklen »Afrika Kontakt og 170 organisationer sender klart budskab til chefforhandlere« på hjemmesiden www.afrika.dk.,,,,,,,,,,
34,35,10,11.0,20,"Hvad er regeringens holdning til det punkt på dagsordenen for mødet i Joint Committee den 8. januar 2014, hvor repræsentanter fra transportmyndighederne i EU og USA bl.a. skal drøfte Norwegians ansøgning via et irsk driftsselskab om at flyve mellem lufthavne i Europa og USA med personale fra lande uden for EU/EØS?",Om Norwegians ansøgning om at flyve mellem lufthavne i Europa og USA.,O,S 742,S,742,,,,32,,,2017-12-05T19:44:16.907,False,Ingen.,,,,,,,,,,
35,36,10,11.0,20,"Hvilke følger mener ministeren, at politirazziaer på gadeplan over for udenlandske kvinder i prostitution kan have for kvindernes forhold til at give oplysninger til og samarbejde med politiet, særligt i lyset af, at kvinderne ofte er potentielle ofre for menneskehandel?",Om politirazziaer over for udenlandske prostituerede.,O,S 743,S,743,,,,32,,,2017-12-05T19:44:17.57,False,Ingen.,,,,,,,,,,
36,37,10,11.0,20,"Finder ministeren det tilfredsstillende, at identificerede ofre for menneskehandel alene har samarbejdet med dansk politi og anklagemyndighed i otte sager fra 2007 til 2012, og hvilke tiltag vil regeringen eventuelt tage for at hæve dette tal?",Om menneskehandel.,O,S 744,S,744,,,,32,,,2017-12-05T19:44:17.77,False,Ingen.,,,,,,,,,,
37,38,5,15.0,3,Forslag til folketingsbeslutning om brug af elektronisk fodlænke på kriminelle asylansøgere og udlændinge på tålt ophold.,Om brug af elektronisk fodlænke på kriminelle på tålt ophold.,O,B 35,B,35,,"Beslutningsforslaget havde til formål at forebygge og dermed nedbringe kriminaliteten blandt asylansøgere ved at indføre brugen af elektroniske fodlænker. Desuden havde beslutningsforslaget til formål at sikre en større kontrol med udlændinge på tålt ophold, ligeledes via en udvidet brug af elektroniske fodlænker.","Forkastet

13 stemmer for forslaget (DF)

98 stemmer imod forslaget (V, S, RV, SF, EL, LA, KF, UFG)

0 stemmer hverken for eller imod forslaget

",32,,,2018-10-02T12:52:35.997,False,,,,,,,,,,,
38,39,10,11.0,20,"Hvad er ministerens holdning til, at Kriminalforsorgen giver udgang til notoriske indbrudstyve i juledagene, hvor mange hjem står tomme, fordi familier er samlet til juleaften og julefrokost, hvilket giver indbrudstyvene »ideelle arbejdsbetingelser« for at begå stribevis af nye indbrud, og vil ministeren tage initiativ til at sikre, at Kriminalforsorgen fremover ikke giver udgang til indsatte indbrudstyve i juledagene, og om nødvendigt ændrer love og regler, der skulle forhindre et sådant tiltag?",Om at give udgang til indsatte indbrudstyve i juledagene.,O,S 745,S,745,,,,32,,,2017-12-05T19:44:18.517,False,"Kriminalforsorgen giver udgang i juledagene til dømte for indbrud. Det giver desværre mulighed for, at nogle kan fortsætte, hvor de slap, før de blev sat ind. Antallet af indbrud er stigende fra 1360 i 2012 til 1618 i 2013 i perioden fra den 20. til den 26. december 2013. Kriminalforsorgen forklarer det med, at det kun er nyligt dømte, der kan forhindres i at komme på udgang.  
Det burde være sådan, at dømte for indbrudstyveri ikke kan få udgang i juledagene, og i hvert fald ikke personer, der notorisk (gentagne gange) er dømt for indbrudstyveri. Skulle eksisterende love og regler være imod et sådant princip, opfordres ministeren til at ændre disse, så udgang til notoriske indbrudstyve kan forhindres i juledagene.",,,,,,,,,,
39,40,6,,54,Rådsmøde nr. 3288 (udenrigsanliggender) den 20. januar 2014,Rådsmøde udenrigsanl. 20/1-14,O,Rådsmøde 3288 - Udenrigsanl.,,,,,,14,,,2016-08-30T13:07:53.597,False,,,,,,2014-01-20T00:00:00,,,,,
40,41,7,,54,Forslag til Rådets afgørelse om ændring af beslutning 2009/831/EF for så vidt angår dens anvendelsesperiode,Forslag til Rådets afgørelse om ændring af beslutning 2009/831/EF for så vidt angår dens anvendelsesperiode,O,KOM (2013) 0930,KOM,930,,"<div>


<p>
<strong>Forslaget er modtaget</strong> af Folketinget i dansk sprogudgave  
den&nbsp;9.&nbsp;januar&nbsp;2014, jf. <a href=""http://www.euo.dk/upload/application/pdf/d83cf832/Protokol2_naerhed.pdf"">Lissabontraktatens 
 protokol nr. 2</a> om kontrol med nærhedsprincippet. <strong>Fristen  
</strong>på  8 uger for fremsendelse af Folketingets begrundede udtalelse  
<strong>udløb  ifølge IPEX&nbsp;6.&nbsp;marts&nbsp;2014.</strong>&nbsp; 
</p>


<div>


<div>


<p>
<a href=""/164799.docid"">Læs</a> 
Kommissionens fremsendelsesbrev    
</p>

</div>

</div>

</div>",,14,,,2016-08-30T13:01:02.97,False,,,,,,,,,,,
41,42,10,11.0,20,"Finder ministeren ikke grund til at være bekymret for ISDS-ordningens politiske og økonomiske konsekvenser for Danmark set i lyset af rapporten »A Transatlantic Corporate Bill of Rights« (s. 8) påpegning af, at den såkaldte »right to regulate«-klausul ikke vil være et værn mod søgsmål fra investorer (jf. svarene på spørgsmål nr. S 592 og S 594)?",Om rapporten »A Transatlantic Corporate Bill of Rights«.,O,S 746,S,746,,,,32,,,2017-12-05T19:44:18.67,False,Der henvises til rapporten »A Transatlantic Corporate Bill of Rights« på TNI’s hjemmeside.,,,,,,,,,,
