,id,titel,lokale,nummer,dagsordenurl,starttidsbemærkning,offentlighedskode,dato,statusid,typeid,periodeid,opdateringsdato
75,157,Møde i Europaudvalget,Vær. 2-133,7,,Kl. 11.00,O,2012-11-09T11:00:00,2,2,31,2016-01-06T16:23:36.35
76,238,Møde i UUI,2-080,,,kl. 14.00,O,2014-09-18T14:00:00,2,2,32,2014-11-12T09:15:15.743
77,239,Møde i SUU den 23/9-14,1-133,,,Kl. 15.00,O,2014-09-23T15:00:00,2,2,32,2014-11-12T09:12:49.713
78,240,Møde i EUU,2-133,39,,Kl. 10.00,O,2014-09-26T10:00:00,2,2,32,2014-11-12T09:18:30.947
79,241,Socialudvalget - åbent samråd,2-080,,,Kl. 15.00,O,2014-09-30T15:00:00,3,2,32,2014-11-12T09:14:12.133
80,242,Fejloprettelse,,,,,O,2014-09-14T00:00:00,1,2,32,2014-09-19T14:46:34.443
81,243,Socialudvalget | åbent samråd,1-133,,,Kl. 9.45,O,2014-10-02T09:45:00,2,2,32,2014-10-02T18:59:05.737
82,244,Transportudvalget - åbent samråd,2-133,,,kl. 13.00,O,2014-09-25T13:00:00,1,2,32,2014-09-29T16:27:51.6
83,245,BEU | Åbent samråd,2-133,33,,kl. 13.30,O,2014-10-01T13:30:00,2,2,32,2014-11-12T09:19:00.757
84,246,LIU,2-145,,,Kl. 10.00,O,2014-10-21T10:00:00,2,2,35,2014-10-21T11:27:59.557
85,247,Møde i salen,,34,,13.00,O,2012-12-12T13:00:00,2,1,31,2023-03-09T11:44:11.213
86,248,Møde i salen,,33,,13.00,O,2012-12-11T13:00:00,2,1,31,2023-03-09T11:44:12.607
87,249,Møde i salen,,35,,10.00,O,2012-12-13T10:00:00,2,1,31,2023-03-09T11:43:29.19
88,250,Møde i salen,,36,,10.00,O,2012-12-14T10:00:00,2,1,31,2023-03-09T11:43:29.16
89,251,Møde i salen,,39,,9.00,O,2012-12-19T09:00:00,2,1,31,2023-03-09T11:43:07.237
90,252,Møde i salen,,38,,9.00,O,2012-12-18T09:00:00,2,1,31,2023-03-09T11:43:06.987
91,264,Møde i salen,,37,,13.00,O,2012-12-17T13:00:00,4,1,31,2016-01-06T16:23:36.397
92,268,Møde i Europaudvalget,2-133,12,,Kl. 11.00,O,2012-12-07T11:00:00,2,2,31,2016-01-06T16:23:36.43
93,292,Møde i Europaudvalget,Vær. 2-133,14,,Kl. 08.00,O,2012-12-14T08:00:00,2,2,31,2016-01-06T16:23:36.523
94,329,Møde i salen,,40,,10.00,O,2013-01-10T10:00:00,2,1,31,2023-03-09T11:43:07.187
95,330,Møde i salen,,41,,10.00,O,2013-01-11T10:00:00,2,1,31,2016-01-06T16:22:48.79
96,331,Møde i salen,,42,,13.00,O,2013-01-15T13:00:00,2,1,31,2016-01-06T16:22:48.837
97,332,Møde i salen,,45,,13.00,O,2013-01-16T13:00:00,2,1,31,2016-01-06T16:23:08.96
98,333,Møde i salen,,46,,10.00,O,2013-01-17T10:00:00,2,1,31,2016-01-06T16:23:09.007
99,334,Møde i salen,,47,,10.00,O,2013-01-18T10:00:00,2,1,31,2016-01-06T16:23:09.057
